               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.017974,           0.0043148,           0.0037354,             0.99679,             0.99863,              0.9942,             0.86814,            0.010248,           0.0064457,           0.0033787,           0.0087369,           0.0087369,           0.0087369
                  76,            0.017892,           0.0042568,           0.0037079,             0.99712,             0.99882,             0.99418,             0.87159,           0.0099693,           0.0062613,           0.0034133,            0.008722,            0.008722,            0.008722
                  77,            0.017705,           0.0042186,           0.0035458,             0.99666,             0.99855,             0.99419,             0.87381,           0.0098311,           0.0062683,           0.0033854,           0.0087071,           0.0087071,           0.0087071
                  78,             0.01783,           0.0040641,            0.003569,             0.99708,             0.99882,             0.99419,             0.87857,           0.0098045,           0.0061504,           0.0034471,           0.0086922,           0.0086922,           0.0086922
                  79,            0.017693,           0.0040616,            0.003583,             0.99723,             0.99882,             0.99419,             0.87883,           0.0096489,           0.0061201,           0.0033504,           0.0086773,           0.0086773,           0.0086773
                  80,            0.017429,           0.0040646,           0.0034427,              0.9969,             0.99853,             0.99417,             0.88317,           0.0095489,           0.0060286,           0.0033238,           0.0086624,           0.0086624,           0.0086624
                  81,            0.017175,           0.0040407,           0.0034751,             0.99716,             0.99876,             0.99414,             0.88593,           0.0092833,           0.0059754,           0.0033482,           0.0086475,           0.0086475,           0.0086475
                  82,            0.017383,           0.0040089,           0.0034111,             0.99732,             0.99874,             0.99424,             0.88627,           0.0092551,            0.005893,            0.003318,           0.0086326,           0.0086326,           0.0086326
                  83,            0.017244,           0.0039424,            0.003462,              0.9969,             0.99882,             0.99427,             0.88682,           0.0091081,           0.0058277,           0.0033292,           0.0086176,           0.0086176,           0.0086176
                  84,            0.016985,            0.003997,           0.0033619,             0.99727,             0.99868,             0.99427,             0.89153,           0.0090365,           0.0057829,           0.0032533,           0.0086027,           0.0086027,           0.0086027
